#{"t_start": 1778599250.2694674, "env_id": "LunarLander-v3"}
r,l,t
-74.889682,141,25.705038
-45.304618,138,25.79894
-63.550842,143,25.898406
-87.245392,135,25.993328
-87.916668,78,26.04293
-88.92894,75,26.100679
-61.148925,144,26.202939
-105.898607,99,26.26863
-156.161521,100,26.328141
-137.67263,96,26.402757
-145.540805,137,26.494846
-85.790638,129,26.586415
-41.838041,143,26.692334
-62.903432,154,26.800456
-56.226072,63,26.845118
-47.631486,72,26.90048
-95.049246,100,26.981766
-64.025388,109,27.055643
-69.349588,81,27.118886
-56.631065,143,27.230761
-58.812718,96,27.296556
-88.859554,125,27.384575
-137.710546,96,27.454055
-55.362383,133,27.564268
-111.082123,67,27.613152
-73.957343,109,27.689579
-39.023455,79,27.742877
-59.170994,166,27.862699
-65.582505,93,27.924604
-122.634512,103,28.000398
-67.460357,96,28.069405
-86.173916,99,28.136337
-100.309918,114,28.21621
-45.781884,158,28.322775
-63.888906,94,28.387927
-44.677987,70,28.438598
-55.578905,141,28.536986
-95.448736,89,28.603452
-81.360014,109,28.677976
-85.759419,116,28.760758
-64.636213,107,28.835634
-49.115248,88,28.901996
-37.770728,118,28.988872
-33.664258,71,29.032377
-59.358233,117,29.113567
-55.331153,89,29.172673
-99.096769,125,29.26175
-69.073055,134,29.352587
-13.169093,133,29.445663
-7.648844,161,29.55967
-90.761285,97,29.630444
-72.693259,113,29.707928
-55.064975,100,34.370584
-82.64485,121,34.467713
-51.821,69,34.517075
-32.599504,80,34.582541
-45.124507,144,34.689436
-76.689541,116,34.776428
-272.236085,167,34.913838
-71.802391,75,34.972487
-75.267269,115,35.054515
-3.92773,160,35.191844
-19.384154,136,35.300256
-89.884705,124,35.392221
-63.947072,109,35.474943
-43.919418,121,35.568514
-59.868653,119,35.654793
-47.097577,109,35.73303
-109.049926,102,35.809639
-75.795486,101,35.8933
-8.265685,134,35.983773
-45.683539,98,36.060825
-98.724149,115,36.148453
-46.443629,82,36.212909
-46.193385,115,36.296347
-69.343527,100,36.369636
-63.631566,141,36.471706
-82.103958,112,36.554652
-94.413345,88,36.623202
-71.853814,127,36.714055
-93.849139,111,36.801788
-150.633107,138,36.907948
-53.329285,103,36.987124
-77.145521,80,37.042935
-58.993808,87,37.111106
-73.602872,113,37.198475
-9.093309,80,37.2544
-66.826496,123,37.348998
-54.149387,78,37.405832
-181.124213,94,37.477796
-65.855616,69,37.534683
-52.223926,104,37.614014
20.009726,143,37.722479
-65.66185,85,37.794301
-62.638274,102,37.879579
-1.748671,119,37.972602
-55.810326,89,38.037235
-68.230875,110,38.118526
-73.765743,100,38.199184
-50.436709,69,38.246751
-2.409082,71,38.295906
-54.53525,75,38.351262
-34.510276,145,38.471784
-77.08515,86,38.544984
-51.698175,121,38.64151
-75.218543,100,38.724365
-25.727796,109,38.820027
-68.326203,73,38.881042
-5.559459,89,38.948194
-51.536695,101,39.030636
-42.847546,81,39.095755
-48.30038,114,39.180826
-14.222174,128,39.285132
-60.989678,127,39.392864
-64.023621,99,39.470309
-60.944873,71,39.525857
-213.758582,125,39.625687
-28.762515,113,39.716452
-26.028057,87,39.790564
-52.117911,92,39.859863
-48.639045,72,39.913789
-52.609371,118,40.009877
-40.610466,108,40.093484
-94.607342,87,40.15955
-33.380845,143,40.282448
-102.888034,124,40.384791
-76.68738,90,40.456765
-0.955501,87,40.524831
-21.640556,91,40.59154
-25.380049,87,40.656515
-22.056232,112,40.754145
-36.26469,130,40.857079
-5.648324,137,40.963644
-44.925917,106,41.047939
-57.442806,82,41.110905
-61.629943,80,41.166167
-55.866161,90,41.232088
-62.615007,100,41.324767
-44.82218,135,41.432085
-52.356469,65,41.482217
-38.272246,83,41.546428
-36.16079,87,41.622741
-52.514475,92,41.69597
-38.052524,131,41.801371
-27.704716,119,41.900269
-43.190252,112,41.989678
-37.076747,118,42.088789
-33.717195,108,46.766902
-82.511305,113,46.843681
-15.679413,129,46.953648
-64.166905,87,47.014537
-63.301699,91,47.084115
-53.403674,82,47.152125
-24.503623,113,47.236696
-43.417764,83,47.299635
-56.129084,61,47.342757
-68.808507,127,47.43956
-41.78396,88,47.503727
-24.446248,88,47.573512
-120.062343,82,47.630248
-13.475283,77,47.688722
-63.370185,87,47.752626
-70.526584,72,47.802705
-101.130719,79,47.864065
-38.518684,68,47.912627
17.680672,85,47.983397
-82.251902,83,48.05063
-34.309495,98,48.133126
-30.809533,114,48.217219
-80.808311,88,48.281233
-25.181289,104,48.356894
-12.289229,126,48.453834
-65.318545,171,48.595132
-17.177877,89,48.661592
-50.145929,128,48.758077
-29.870059,127,48.856291
-59.25188,131,48.952278
-24.915643,83,49.023174
-68.29939,68,49.074342
-10.063801,109,49.160251
-50.788363,82,49.226683
-39.84635,103,49.311692
-35.439688,81,49.369798
-39.141426,108,49.4491
-106.565425,100,49.524354
-44.931166,82,49.594473
-55.496999,364,49.885043
-97.086569,106,49.962419
-2.88303,116,50.05478
-17.99555,68,50.111148
-36.587035,81,50.177613
-64.715084,119,50.266006
3.405617,89,50.334633
-52.661595,66,50.381403
-65.425006,125,50.472403
-1.261495,120,50.562724
-39.705778,87,50.630299
-66.020435,102,50.71245
-22.044836,123,50.807641
-104.143961,132,50.913062
-84.714352,117,51.004766
-43.480448,101,51.092328
-40.883774,88,51.162336
-39.780124,125,51.270603
-33.480591,95,51.34496
-89.621823,99,51.421413
